id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
41720148,Amplio departamento cerca del Museo Dolores Olmedo,167806427,César Octavio,,Xochimilco,19.25865,-99.12998,Shared room,267,1,0,,,1,89
41762806,Descanso genial!,329740410,Gastón,,Xochimilco,19.281470000000002,-99.13156,Private room,201,1,0,,,1,350
41882457,"XOCHIMILCO, COMODA, SEGURA Y TRANQUILA",318608487,Gerardo,,Xochimilco,19.241,-99.09713,Entire home/apt,290,1,1,2020-03-01,0.34,2,180
41912368,Quinta  Beby Xochimilco,220995206,Propiedades BCA,,Xochimilco,19.228289999999998,-99.12046,Entire home/apt,1493,2,0,,,2,365
41966461,Quinta Beby Xochimilco,220995206,Propiedades BCA,,Xochimilco,19.22714,-99.12097,Entire home/apt,1493,2,0,,,2,365
42257241,Agradable habitación en el sur de la Ciudad,335734272,Anette,,Xochimilco,19.27825,-99.12656,Private room,223,1,0,,,1,365
42409720,En el centro de Xochimilco.,337546305,Mari Celia,,Xochimilco,19.25354,-99.09862,Private room,341,1,0,,,1,0
42930132,xochimilco nativitas,196375632,Azalia Teresa,,Xochimilco,19.24835,-99.10536,Shared room,490,1,0,,,1,90
42937868,Habitación independiente con baño propio,341814983,Diego,,Xochimilco,19.273529999999997,-99.13127,Private room,290,1,0,,,1,365
42988530,La Quinta de Xochimilco & Jardín de Eventos,90838556,Pablo José,,Xochimilco,19.246679999999998,-99.09491,Entire home/apt,2339,1,0,,,1,363
43499841,Departamento 3. Las gárgolas. Xochimilco,346421270,Daniel,,Xochimilco,19.26039,-99.11518000000001,Entire home/apt,11010,30,0,,,1,179
